document_id,split,domain,source,source_id,doi,url,title,published,final_label,redistribution_status,timestamp_validity,confirmatory_status
DEV011,development,Development,arXiv,2506.15421v1,,https://arxiv.org/abs/2506.15421,Reward Models in Deep Reinforcement Learning: A Survey,2025,Review,identifier_title_label_only,not_published_here,included
DEV012,development,Development,arXiv,2605.01471v1,,https://arxiv.org/abs/2605.01471,Practical Limits of Autonomous Test Repair: A Multi-Agent Case Study with LLM-Driven Discovery and Self-Correction,2026,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV013,development,Development,arXiv,2202.03367v1,,https://arxiv.org/abs/2202.03367,A longitudinal case study on the effects of an evidence-based software engineering training,2022,Case Study,identifier_title_label_only,not_published_here,included
DEV014,development,Development,arXiv,2505.18019v1,,https://arxiv.org/abs/2505.18019,LLM assisted web application functional requirements generation: A case study of four popular LLMs over a Mess Management System,2025,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV015,development,Development,arXiv,2301.05069v1,,https://arxiv.org/abs/2301.05069,Open Design Case Study -- A Crowdsourcing Effort to Curate Software Design Case Studies,2023,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV016,development,Development,arXiv,1306.2502v1,,https://arxiv.org/abs/1306.2502,Case Study Based Software Engineering Project Development: State of Art,2013,Case Study,identifier_title_label_only,not_published_here,included
DEV017,development,Development,arXiv,1602.01172v1,,https://arxiv.org/abs/1602.01172,Synthesizing a Lego Forklift Controller in GR(1): A Case Study,2016,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV018,development,Development,arXiv,2101.08444v1,,https://arxiv.org/abs/2101.08444,Qualitative Research on Software Development: A Longitudinal Case Study Methodology,2021,Case Study,identifier_title_label_only,not_published_here,included
DEV019,development,Development,arXiv,2212.05588v1,,https://arxiv.org/abs/2212.05588,Towards a Learner-Centered Explainable AI: Lessons from the learning sciences,2022,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV020,development,Development,arXiv,2105.05748v1,,https://arxiv.org/abs/2105.05748,Conversational Negation using Worldly Context in Compositional Distributional Semantics,2021,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV021,development,Development,arXiv,2603.15674v2,,https://arxiv.org/abs/2603.15674,Theoretical Foundations of Latent Posterior Factors: Formal Guarantees for Multi-Evidence Reasoning,2026,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV022,development,Development,arXiv,2505.07757v2,,https://arxiv.org/abs/2505.07757,Emotion-Gradient Metacognitive RSI (Part I): Theoretical Foundations and Single-Agent Architecture,2025,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV023,development,Development,arXiv,cs/0212030v1,,https://arxiv.org/abs/cs/0212030,Theoretical Analyses of Cross-Validation Error and Voting in Instance-Based Learning,2002,Conceptual,identifier_title_label_only,not_published_here,included
DEV024,development,Development,arXiv,2105.04187v4,,https://arxiv.org/abs/2105.04187,A Rigorous Information-Theoretic Definition of Redundancy and Relevancy in Feature Selection Based on (Partial) Information Decomposition,2021,Conceptual,identifier_title_label_only,not_published_here,included
DEV025,development,Development,arXiv,1810.05986v2,,https://arxiv.org/abs/1810.05986,Theoretical Guarantees of Transfer Learning,2018,Conceptual,identifier_title_label_only,not_published_here,included
DEV026,development,Development,arXiv,2201.04883v1,,https://arxiv.org/abs/2201.04883,Ontological model identification based on data from heterogeneous sources,2022,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV027,development,Development,arXiv,1402.3781v1,,https://arxiv.org/abs/1402.3781,A Framework for Developing Real-Time OLAP algorithm using Multi-core processing and GPU: Heterogeneous Computing,2014,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV028,development,Development,arXiv,2103.10057v1,,https://arxiv.org/abs/2103.10057,Immersive Operation of a Semi-Autonomous Aerial Platform for Detecting and Mapping Radiation,2021,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV029,development,Development,arXiv,2210.09753v1,,https://arxiv.org/abs/2210.09753,A Socially Assistive Robot using Automated Planning in a Paediatric Clinical Setting,2022,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV030,development,Development,arXiv,1510.00244v1,,https://arxiv.org/abs/1510.00244,RDF Knowledge Graph Visualization From a Knowledge Extraction System,2015,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV031,development,Development,arXiv,1705.07490v1,,https://arxiv.org/abs/1705.07490,MindDesktop: a general purpose brain computer interface,2017,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV032,development,Development,arXiv,1803.00296v1,,https://arxiv.org/abs/1803.00296,Dišimo: Anchoring Our Breath,2018,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV033,development,Development,arXiv,2305.10349v1,,https://arxiv.org/abs/2305.10349,Interactive Learning of Hierarchical Tasks from Dialog with GPT,2023,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV034,development,Development,arXiv,1909.06331v1,,https://arxiv.org/abs/1909.06331,Where is My Stuff? An Interactive System for Spatial Relations,2019,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV035,development,Development,arXiv,1605.04177v1,,https://arxiv.org/abs/1605.04177,Knowledge-Enabled Robotic Agents for Shelf Replenishment in Cluttered Retail Environments,2016,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV036,development,Development,arXiv,2210.05034v1,,https://arxiv.org/abs/2210.05034,Real-Time Dynamic Map with Crowdsourcing Vehicles in Edge Computing,2022,Experimental,identifier_title_label_only,not_published_here,included
DEV037,development,Development,arXiv,2401.09149v3,,https://arxiv.org/abs/2401.09149,InternEvo: Efficient Long-sequence Large Language Model Training via Hybrid Parallelism and Redundant Sharding,2024,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV038,development,Development,arXiv,1705.07878v6,,https://arxiv.org/abs/1705.07878,TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep Learning,2017,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV039,development,Development,arXiv,2508.11758v2,,https://arxiv.org/abs/2508.11758,Can we Evaluate RAGs with Synthetic Data?,2025,Experimental,identifier_title_label_only,not_published_here,included
DEV040,development,Development,arXiv,2510.10457v1,,https://arxiv.org/abs/2510.10457,Rethinking LLM Evaluation: Can We Evaluate LLMs with 200x Less Data?,2025,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV041,development,Development,arXiv,2502.19582v2,,https://arxiv.org/abs/2502.19582,Where Are We? Evaluating LLM Performance on African Languages,2025,Experimental,identifier_title_label_only,not_published_here,included
DEV042,development,Development,arXiv,1909.00444v1,,https://arxiv.org/abs/1909.00444,A Discriminative Neural Model for Cross-Lingual Word Alignment,2019,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV043,development,Development,arXiv,2405.06634v2,,https://arxiv.org/abs/2405.06634,Multimodal LLMs Struggle with Basic Visual Network Analysis: a VNA Benchmark,2024,Experimental,identifier_title_label_only,not_published_here,included
DEV044,development,Development,arXiv,2103.07528v1,,https://arxiv.org/abs/2103.07528,Building the perfect game -- an empirical study of game modifications,2021,Experimental,identifier_title_label_only,not_published_here,included
DEV045,development,Development,arXiv,1412.6359v1,,https://arxiv.org/abs/1412.6359,An Empirical Study on Refactoring Activity,2014,Experimental,identifier_title_label_only,not_published_here,included
DEV046,development,Development,arXiv,2305.19834v3,,https://arxiv.org/abs/2305.19834,An Empirical Study of Fault Localization in Python Programs,2023,Experimental,identifier_title_label_only,not_published_here,included
DEV047,development,Development,arXiv,2103.11518v1,,https://arxiv.org/abs/2103.11518,An Empirical Study of OSS-Fuzz Bugs,2021,Experimental,identifier_title_label_only,not_published_here,included
DEV048,development,Development,arXiv,1803.09939v2,,https://arxiv.org/abs/1803.09939,An Empirical Study of Fault Localization Families and Their Combinations,2018,Experimental,identifier_title_label_only,not_published_here,included
DEV049,development,Development,arXiv,1904.05842v1,,https://arxiv.org/abs/1904.05842,Empirical Study of Phased Model of Software Change,2019,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV050,development,Development,OpenAlex,W4391095904,,https://arxiv.org/abs/W4391095904,The Effect of Posted Prices on Auction Prices: An Empirical Investigation of a Multichannel B2B Market,2023,Experimental,identifier_title_label_only,not_published_here,included
DEV051,development,Development,OpenAlex,W4371784808,,https://arxiv.org/abs/W4371784808,Just Enough Information? The Contingent Curvilinear Effect of Information Volume on Decision Performance in IS-Enabled Teams,2022,Conceptual,identifier_title_label_only,not_published_here,included
DEV052,development,Development,OpenAlex,W3114625531,,https://arxiv.org/abs/W3114625531,A Prescriptive Analytics Method for Cost Reduction in Clinical Decision Making,2021,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV053,development,Development,OpenAlex,W2110733626,,https://arxiv.org/abs/W2110733626,Take Their Word for It: The Symbolic Role of Linguistic Style Matches in User Communities1,2014,Conceptual,identifier_title_label_only,not_published_here,included
DEV054,development,Development,OpenAlex,W1926382720,,https://arxiv.org/abs/W1926382720,"The Impact of Information Technology and Transactive Memory Systems on Knowledge Sharing, Application, and Team Performance: A Field Study1",2010,Experimental,identifier_title_label_only,not_published_here,included
DEV055,development,Development,OpenAlex,W2133875455,,https://arxiv.org/abs/W2133875455,"Information Technology Outsourcing, Knowledge Transfer, and Firm Productivity: An Empirical Analysis1",2012,Experimental,identifier_title_label_only,not_published_here,included
DEV056,development,Development,OpenAlex,W2202316322,,https://arxiv.org/abs/W2202316322,"Me, My Self, and I(T): Conceptualizing Information Technology Identity and ITS Implications1",2015,Conceptual,identifier_title_label_only,not_published_here,included
DEV057,development,Development,OpenAlex,W4403108392,,https://arxiv.org/abs/W4403108392,Theorizing the Digital Object1,2019,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV058,development,Development,OpenAlex,W3187144106,,https://arxiv.org/abs/W3187144106,Privacy Concerns and Data Sharing in the Internet of Things: Mixed Methods Evidence from Connected Cars,2021,Case Study,identifier_title_label_only,not_published_here,included
DEV059,development,Development,OpenAlex,W2950156083,,https://arxiv.org/abs/W2950156083,The Role of Affordances in the Deinstitutionalization of a Dysfunctional Health Management Information System in Kenya: An Identity Work Perspective1,2019,Experimental,identifier_title_label_only,not_published_here,included
DEV060,development,Development,OpenAlex,W4410841539,,https://arxiv.org/abs/W4410841539,Design Principles for Information Categorization Quality in Crowdsourced Crisis Mapping Platforms,2025,Conceptual,identifier_title_label_only,not_published_here,included
DEV061,development,Development,OpenAlex,W3137836822,,https://arxiv.org/abs/W3137836822,Empowering Patients Using Smart Mobile Health Platforms: Evidence From a Randomized Field Experiment,2022,Case Study,identifier_title_label_only,not_published_here,included
DEV062,development,Development,OpenAlex,W7164834655,,https://arxiv.org/abs/W7164834655,Gender Gating? Addressing the Impact of Congestion on the User Experience for Women in Online Matrimonial Matching Platforms,2026,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV063,development,Development,OpenAlex,W7162000424,,https://arxiv.org/abs/W7162000424,Can ChatGPT Kill User-Generated Q&amp;A Platforms?,2026,Experimental,identifier_title_label_only,not_published_here,included
DEV064,development,Development,OpenAlex,W2173704593,,https://arxiv.org/abs/W2173704593,Research Note—Parenting New Acquisitions: Acquirers’ Digital Resource Redeployment and Targets’ Performance Improvement in the U.S. Hospital Industry,2015,Conceptual,identifier_title_label_only,not_published_here,included
DEV065,development,Development,OpenAlex,W2144816153,,https://arxiv.org/abs/W2144816153,<b>Research Commentary</b>—The Digital Transformation of Healthcare: Current Status and the Road Ahead,2010,Experimental,identifier_title_label_only,not_published_here,included
DEV066,development,Development,OpenAlex,W2752025338,,https://arxiv.org/abs/W2752025338,Software Diversity for Improved Network Security: Optimal Distribution of Software-Based Shared Vulnerabilities,2017,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV067,development,Development,OpenAlex,W3091439662,,https://arxiv.org/abs/W3091439662,Learning Individual Behavior Using Sensor Data: The Case of Global Positioning System Traces and Taxi Drivers,2020,Conceptual,identifier_title_label_only,not_published_here,included
DEV068,development,Development,OpenAlex,W4386092543,,https://arxiv.org/abs/W4386092543,More Than a Bot? The Impact of Disclosing Human Involvement on Customer Interactions with Hybrid Service Agents,2023,Experimental,identifier_title_label_only,not_published_here,included
DEV069,development,Development,OpenAlex,W4381280439,,https://arxiv.org/abs/W4381280439,Uncovering the Neural Processes of Privacy: A Neurally Informed Behavioral Intervention to Protect Information Privacy,2023,Experimental,identifier_title_label_only,not_published_here,included
DEV070,development,Development,OpenAlex,W4223578552,,https://arxiv.org/abs/W4223578552,Identification of Causal Mechanisms from Randomized Experiments: A Framework for Endogenous Mediation Analysis,2022,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV071,development,Development,OpenAlex,W2090141200,,https://arxiv.org/abs/W2090141200,Early to Adopt and Early to Discontinue: The Impact of Self-Perceived and Actual IT Knowledge on Technology Use Behaviors of End Users,2015,Conceptual,identifier_title_label_only,not_published_here,included
DEV072,development,Development,OpenAlex,W3092061312,,https://arxiv.org/abs/W3092061312,Configurations for Achieving Organizational Ambidexterity with Digitization,2020,Conceptual,identifier_title_label_only,not_published_here,included
DEV073,development,Development,OpenAlex,W4360850955,,https://arxiv.org/abs/W4360850955,The Interdependence of Coordination and Cooperation in Information Technology Outsourcing,2023,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV074,development,Development,OpenAlex,W598202713,,https://arxiv.org/abs/W598202713,Applying Institutional Theoretical Frameworks in MIS Research,2012,Experimental,identifier_title_label_only,not_published_here,included
DEV075,development,Development,OpenAlex,W1552904721,,https://arxiv.org/abs/W1552904721,Role-Based Access Control for Information Federations in the Industrial Service Sector,2010,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV076,development,Development,OpenAlex,W2999894334,,https://arxiv.org/abs/W2999894334,Can We Trust Teaching Evaluations When Response Rates are not High? Implications from a Monte Carlo Simulation.,2019,Experimental,identifier_title_label_only,not_published_here,included
DEV077,development,Development,OpenAlex,W645732045,,https://arxiv.org/abs/W645732045,The Human Cloud in China: An Early Inquiry and Analysis,2012,Experimental,identifier_title_label_only,not_published_here,included
DEV078,development,Development,OpenAlex,W217385925,,https://arxiv.org/abs/W217385925,Implementing Citizen-Centric Strategic IS Projects: An Indian Case Study,2010,Case Study,identifier_title_label_only,not_published_here,included
DEV079,development,Development,OpenAlex,W3194292271,,https://arxiv.org/abs/W3194292271,Open Innovation Platform Design: From User Experience to User Interface Design,2021,Experimental,identifier_title_label_only,not_published_here,included
DEV080,development,Development,OpenAlex,W129796999,,https://arxiv.org/abs/W129796999,Evaluation of Frame- and Feature-based Software Product Line Tools from the Viewpoint of Mass Customization by End Users,2010,Experimental,identifier_title_label_only,not_published_here,included
DEV081,development,Development,OpenAlex,W1027214476,,https://arxiv.org/abs/W1027214476,The Construction of Staffing Pattern of the Chinese Think Tank,2015,Experimental,identifier_title_label_only,not_published_here,included
DEV082,development,Development,OpenAlex,W62449958,,https://arxiv.org/abs/W62449958,CAN END-USERS PROGRAM?,2014,Conceptual,identifier_title_label_only,not_published_here,included
DEV083,development,Development,OpenAlex,W3033349364,,https://arxiv.org/abs/W3033349364,Understanding Filipinos’ Perceptions of Data Privacy in Crowdfunding: A Social Contract and Virtue Theory Perspective,2020,Experimental,identifier_title_label_only,not_published_here,included
DEV084,development,Development,OpenAlex,W3191910746,,https://arxiv.org/abs/W3191910746,Early Rumour Detection with Temporal Bidirectional Graph Convolutional Networks,2021,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV085,development,Development,OpenAlex,W3090436360,,https://arxiv.org/abs/W3090436360,Factors Influencing the Perception of Seller Credibility in Online Reputation System: an Eye-Movement Approach,2020,Experimental,identifier_title_label_only,not_published_here,included
DEV086,development,Development,OpenAlex,W2122441205,,https://arxiv.org/abs/W2122441205,A response to the design-oriented information systems research memorandum,2010,Conceptual,identifier_title_label_only,not_published_here,included
DEV087,development,Development,OpenAlex,W4296774052,,https://arxiv.org/abs/W4296774052,Understanding decentralization of decision-making power in proof-of-stake blockchains: an agent-based simulation approach,2022,Conceptual,identifier_title_label_only,not_published_here,included
DEV088,development,Development,OpenAlex,W3014203875,,https://arxiv.org/abs/W3014203875,Detection of early warning signals for overruns in IS projects: linguistic analysis of business case language,2020,Conceptual,identifier_title_label_only,not_published_here,included
DEV089,development,Development,OpenAlex,W3048098960,,https://arxiv.org/abs/W3048098960,Information Technology and the pandemic: a preliminary multinational analysis of the impact of mobile tracking technology on the COVID-19 contagion control,2020,Experimental,identifier_title_label_only,not_published_here,included
DEV090,development,Development,OpenAlex,W3213639571,,https://arxiv.org/abs/W3213639571,Taking DevOps mainstream: a critical review and conceptual framework,2021,Review,identifier_title_label_only,not_published_here,included
DEV091,development,Development,OpenAlex,W4414782655,,https://arxiv.org/abs/W4414782655,"Empowering health, integrating privacy: a value-reflexive examination of smart health technologies",2025,Conceptual,identifier_title_label_only,not_published_here,included
DEV092,development,Development,OpenAlex,W2089623435,,https://arxiv.org/abs/W2089623435,A motivational model for technology-supported cross-organizational and cross-border collaboration,2010,Conceptual,identifier_title_label_only,not_published_here,included
DEV093,development,Development,OpenAlex,W2768849025,,https://arxiv.org/abs/W2768849025,Why security and privacy research lies at the centre of the information systems (IS) artefact: proposing a bold research agenda,2017,Conceptual,identifier_title_label_only,not_published_here,included
DEV094,development,Development,OpenAlex,W4405692856,,https://arxiv.org/abs/W4405692856,Responsible social media use: how user characteristics shape the actualisation of ambiguous affordances,2024,Conceptual,identifier_title_label_only,not_published_here,included
DEV095,development,Development,OpenAlex,W2014464121,,https://arxiv.org/abs/W2014464121,Cultural and generational influences on privacy concerns: a qualitative study in seven European countries,2013,Case Study,identifier_title_label_only,not_published_here,included
DEV096,development,Development,OpenAlex,W3087230834,,https://arxiv.org/abs/W3087230834,Knowledge sharing in two cultures: the moderating effect of national culture on perceived knowledge quality in online communities,2020,Conceptual,identifier_title_label_only,not_published_here,included
DEV097,development,Development,OpenAlex,W2594639566,,https://arxiv.org/abs/W2594639566,The public procurement of information systems: dialectics in requirements specification,2017,Experimental,identifier_title_label_only,not_published_here,included
DEV098,development,Development,OpenAlex,W4379162194,,https://arxiv.org/abs/W4379162194,Mitigating information asymmetry to acquire venture capital financing for digital startups in China: The role of weak and strong signals,2023,Conceptual,identifier_title_label_only,not_published_here,included
DEV099,development,Development,OpenAlex,W3170116504,,https://arxiv.org/abs/W3170116504,Special issue: Indigenous theory,2021,Conceptual,identifier_title_label_only,not_published_here,included
DEV100,development,Development,OpenAlex,W4400137728,,https://arxiv.org/abs/W4400137728,Challenges in developing information and communication technology (<scp>ICT</scp>) use for rural e‐governance: An ecology perspective,2024,Experimental,identifier_title_label_only,not_published_here,included
DEV101,development,Development,OpenAlex,W3134226211,,https://arxiv.org/abs/W3134226211,Status differentials and framing in the implementation of <scp>IT</scp>‐enabled task migration strategies,2021,Case Study,identifier_title_label_only,not_published_here,included
DEV102,development,Development,OpenAlex,W4313647841,,https://arxiv.org/abs/W4313647841,Social positioning matters: A socialized affordance perspective of<scp>mHealth</scp>in India,2023,Conceptual,identifier_title_label_only,not_published_here,included
DEV103,development,Development,OpenAlex,W4386829899,,https://arxiv.org/abs/W4386829899,"Open government, civic tech and digital platforms in Latin America: A governance study of Montevideo's urban app ‘Por Mi Barrio’",2023,Case Study,identifier_title_label_only,not_published_here,included
DEV104,development,Development,OpenAlex,W4412890127,,https://arxiv.org/abs/W4412890127,Steering Digital Transformation: An Iterative Landscape Approach,2025,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV105,development,Development,OpenAlex,W1950985224,,https://arxiv.org/abs/W1950985224,"Understanding buyers' loyalty to a C2C platform: the roles of social capital, satisfaction and perceived effectiveness of e‐commerce institutional mechanisms",2015,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV106,development,Development,OpenAlex,W3005189649,,https://arxiv.org/abs/W3005189649,Peers matter: The moderating role of social influence on information security policy compliance,2020,Conceptual,identifier_title_label_only,not_published_here,included
DEV107,development,Development,OpenAlex,W3175382223,,https://arxiv.org/abs/W3175382223,Digital entrepreneurship and indigenous value systems: An Ubuntu perspective,2021,Experimental,identifier_title_label_only,not_published_here,included
DEV108,development,Development,OpenAlex,W4285495548,,https://arxiv.org/abs/W4285495548,Narrowing the age‐based digital divide: Developing digital capability through social activities,2022,Conceptual,identifier_title_label_only,not_published_here,included
DEV109,development,Development,OpenAlex,W4388043475,,https://arxiv.org/abs/W4388043475,Agentic interplay between hybridity and liminality in contemporary boundary work,2023,Conceptual,identifier_title_label_only,not_published_here,included
DEV110,development,Development,OpenAlex,W1997421238,,https://arxiv.org/abs/W1997421238,Understanding the Influence of Instant Messaging on Ending Concessions During Negotiations,2015,Experimental,identifier_title_label_only,not_published_here,included
DEV111,development,Development,OpenAlex,W4411527479,,https://arxiv.org/abs/W4411527479,Complementor Value Co-Creation in Generative AI Platform Ecosystems,2025,Case Study,identifier_title_label_only,not_published_here,included
DEV112,development,Development,OpenAlex,W2561472909,,https://arxiv.org/abs/W2561472909,An Empirical Validation of Malicious Insider Characteristics,2016,Experimental,identifier_title_label_only,not_published_here,included
DEV113,development,Development,OpenAlex,W2041496158,,https://arxiv.org/abs/W2041496158,Inducing Intrinsic Motivation to Explore the Enterprise System: The Supremacy of Organizational Levers,2012,Experimental,identifier_title_label_only,not_published_here,included
DEV114,development,Development,OpenAlex,W2909403041,,https://arxiv.org/abs/W2909403041,Effectiveness of IT Service Management Capability: Value Co-Creation and Value Facilitation Mechanisms,2019,Conceptual,identifier_title_label_only,not_published_here,included
DEV115,development,Development,OpenAlex,W2036461448,,https://arxiv.org/abs/W2036461448,Competing with Piracy: A Multichannel Sequential Search Approach,2013,Experimental,identifier_title_label_only,not_published_here,included
DEV116,development,Development,OpenAlex,W2061951099,,https://arxiv.org/abs/W2061951099,Determinants of Mobile Apps' Success: Evidence from the App Store Market,2014,Case Study,identifier_title_label_only,not_published_here,included
DEV117,development,Development,OpenAlex,W3177315891,,https://arxiv.org/abs/W3177315891,The Making of Data Commodities: Data Analytics as an Embedded Process,2021,Conceptual,identifier_title_label_only,not_published_here,included
DEV118,development,Development,OpenAlex,W2767475280,,https://arxiv.org/abs/W2767475280,A Two-Stage Model of Generating Product Advice: Proposing and Testing the Complementarity Principle,2017,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV119,development,Development,OpenAlex,W2795084954,,https://arxiv.org/abs/W2795084954,How Does Social Media Impact Bitcoin Value? A Test of the Silent Majority Hypothesis,2018,Experimental,identifier_title_label_only,not_published_here,included
DEV120,development,Development,OpenAlex,W4402236543,,https://arxiv.org/abs/W4402236543,Board Interlocks with Information Technology Firms and Innovation Outcomes: A Resource Dependence Perspective,2024,Experimental,identifier_title_label_only,not_published_here,included
DEV121,development,Development,OpenAlex,W4416364845,,https://arxiv.org/abs/W4416364845,When Good Intentions Backfire: The Asymmetric Effects of Minority-Ownership Markers for Businesses on Online Platforms,2025,Experimental,identifier_title_label_only,not_published_here,included
DEV122,development,Development,OpenAlex,W3047061696,,https://arxiv.org/abs/W3047061696,Is code law? Current legal and technical adoption issues and remedies for blockchain-enabled smart contracts,2020,Case Study,identifier_title_label_only,not_published_here,included
DEV123,development,Development,OpenAlex,W4402760487,,https://arxiv.org/abs/W4402760487,Guiding computationally intensive theory development with explainable artificial intelligence: The case of shapley additive explanations,2024,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV124,development,Development,OpenAlex,W2090996671,,https://arxiv.org/abs/W2090996671,Research on IT in China: A Call for Greater Contextualization,2014,Conceptual,identifier_title_label_only,not_published_here,included
DEV125,development,Development,OpenAlex,W1966781683,,https://arxiv.org/abs/W1966781683,"Houston, We've had a Problem… … Offshoring, is Employment and the is Discipline: Perception is not Reality",2010,Experimental,identifier_title_label_only,not_published_here,included
DEV126,development,Development,OpenAlex,W1975004384,,https://arxiv.org/abs/W1975004384,A Review of the it Outsourcing Empirical Literature and Future Research Directions,2010,Review,identifier_title_label_only,not_published_here,included
DEV127,development,Development,OpenAlex,W2105731959,,https://arxiv.org/abs/W2105731959,Internet Censorship Circumvention Technology Use in Human Rights Organizations: An Exploratory Analysis,2012,Case Study,identifier_title_label_only,not_published_here,included
DEV128,development,Development,OpenAlex,W2617815229,,https://arxiv.org/abs/W2617815229,Crossing the Next Frontier: The Role of ICT in Driving the Financialization of Credit,2017,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV129,development,Development,OpenAlex,W2755899339,,https://arxiv.org/abs/W2755899339,"Inclusive Technologies, Selective Traditions: A Socio-material Case Study of Crowdfunded Book Publishing",2017,Case Study,identifier_title_label_only,not_published_here,included
DEV130,development,Development,OpenAlex,W3037080447,,https://arxiv.org/abs/W3037080447,Paradox and the negotiation of tensions in globally distributed work,2020,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV131,development,Development,OpenAlex,W2026622758,,https://arxiv.org/abs/W2026622758,Network Relations and Boundary Spanning: Understanding the Evolution of E-Ordering in the Chinese Drug Distribution Industry,2013,Experimental,identifier_title_label_only,not_published_here,included
DEV132,development,Development,OpenAlex,W2982562044,,https://arxiv.org/abs/W2982562044,Under pressure: Understanding the dynamics of coordination in IT functions under business-as-usual and emergency conditions,2019,Experimental,identifier_title_label_only,not_published_here,included
DEV133,development,Development,OpenAlex,W2022228965,,https://arxiv.org/abs/W2022228965,Understanding the Dominance and Advocacy of the Design-Oriented Research Approach in the Business Informatics Community: A History-Based Examination,2013,Conceptual,identifier_title_label_only,not_published_here,included
DEV134,development,Development,OpenAlex,W4403443745,,https://arxiv.org/abs/W4403443745,A knowledge-centric model for government-orchestrated digital transformation among the microbusiness sector,2024,Case Study,identifier_title_label_only,not_published_here,included
